date;price;open;max;min;vol;
2022-05-05;36544;39686;39833;36183;14B;
2022-05-04;39688;37717;40021;37660;691,49M;
2022-05-03;37718;38515;38647;37513;367,21M;
2022-05-02;38514;38472;39134;38061;580,79M;
2022-05-01;38461;37642;38676;37397;276,99M;
2022-04-30;37650;38590;38776;37596;248,22M;
2022-04-29;38581;39748;39919;38175;382,90M;
2022-04-28;39748;39243;40382;38888;542,39M;
2022-04-27;39243;38113;39447;37869;426,83M;
2022-04-26;38113;40443;40770;37708;681,47M;
2022-04-25;40427;39464;40599;38233;654,60M;
2022-04-24;39464;39434;39929;39033;283,63M;
2022-04-23;39418;39709;39973;39291;190,60M;
2022-04-22;39709;40487;40792;39200;421,30M;
2022-04-21;40482;41370;42969;39793;4935M;
2022-04-20;41368;41499;42203;40915;382,84M;
2022-04-19;41503;40809;41746;40585;268,28M;
2022-04-18;40803;39700;41095;38577;484,26M;
2022-04-17;39703;40382;40599;39561;2101M;
2022-04-16;40382;40571;40691;40003;151,31M;
2022-04-15;40560;39936;40850;39781;2339M;
2022-04-14;39936;41133;41494;39585;294,29M;
2022-04-13;41133;40072;41515;39581;406,70M;
2022-04-12;40078;39507;40678;39265;468,27M;
2022-04-11;39497;42144;42418;39202;608,38M;
2022-04-10;42138;42760;43421;41884;255,83M;
2022-04-09;42767;42275;42809;42129;165,16M;
2022-04-08;42275;43450;43979;42113;467,83M;
2022-04-07;43448;43166;43893;42747;390,85M;
2022-04-06;43173;45494;45519;43122;649,52M;
2022-04-05;45506;46614;47201;45388;421,11M;
2022-04-04;46629;46407;46899;45152;446,12M;
2022-04-03;46407;45813;47435;45554;398,86M;
2022-04-02;45811;46299;47212;45641;345,93M;
2022-04-01;46297;45529;46728;44261;632,93M;
2022-03-31;45525;47071;47624;45228;5200M;
2022-03-30;47075;47449;47714;46601;467,76M;
2022-03-29;47449;47126;48127;47029;478,82M;
2022-03-28;47105;46859;48199;46672;610,27M;
2022-03-27;46859;44542;46947;44445;388,79M;
2022-03-26;44548;44331;44818;44090;196,30M;
2022-03-25;44331;44013;45112;43622;4949M;
2022-03-24;44013;42911;44251;42658;491,66M;
2022-03-23;42912;42373;43027;41795;433,96M;
2022-03-22;42373;41022;43327,9;40893;5376M;
2022-03-21;41022;41282;41532;40530;406,62M;
2022-03-20;41276;42241;42301;40922;308,45M;
2022-03-19;42233;41768;42386;41529,6;224,59M;
2022-03-18;41767;40914,6;42308,4;40234,8;2,31B;
2022-03-17;40914;41118,7;41406;40557,8;1,90B;
2022-03-16;41118;39282,5;41701,6;38953,2;4,47B;
2022-03-15;39285;39673;39854,7;38220,9;2,25B;
2022-03-14;39671;37789,5;39914,3;37613,6;2,33B;
2022-03-13;37792;38813,2;39272,3;37603,4;1,55B;
2022-03-12;38814;38730,2;39355,3;38666,5;1,11B;
2022-03-11;38730;39422,5;40177;38236,4;2,79B;
2022-03-10;39416;41933,9;42029,1;38603,5;3,62B;
2022-03-09;41929;38731,5;42538,5;38663,3;3,60B;
2022-03-08;38744;38020,6;39351,5;37886,6;2,67B;
2022-03-07;38024;38420,6;39532;37182,1;32B;
2022-03-06;38403;39396,3;39668,1;38115;1,93B;
2022-03-05;39395;39142,8;39600,2;38626,1;1,50B;
2022-03-04;39142;42463;42848,7;38594,9;3,21B;
2022-03-03;42463;43912,8;44077,2;41840,8;74,11K;
2022-03-02;43912;44420,3;45294,2;43361,3;80,82K;
2022-03-01;44420;43187,2;44900,5;42876,6;90,67K;
2022-02-28;43188;37707,2;43977,8;37458,9;1087K;
2022-02-27;37689;39116,6;39838,5;37062,3;66,14K;
2022-02-26;39115;39221,6;40094,5;38639,1;41,55K;
2022-02-25;39209;38339,2;39683,7;38042,6;83,78K;
2022-02-24;38339;37250,2;39351,6;34357,4;180,47K;
2022-02-23;37224;38248,2;39194,5;37099,5;64,84K;
2022-02-22;38248;37018,3;38414,9;36399,6;82,75K;
2022-02-21;37017;38355;39444,1;36868,9;91,82K;
2022-02-20;38355;40089,6;40120,3;38042,2;47,92K;
2022-02-19;40090;40000,1;40434,3;39666,6;25,78K;
2022-02-18;40000;40532,5;40935,5;39505;64,96K;
2022-02-17;40552;43885,5;44167,1;40103,8;72,63K;
2022-02-16;43883;44540,9;44552,9;43377,6;41,40K;
2022-02-15;44544;42550,3;44722,6;42460,1;56,34K;
2022-02-14;42550;42061,1;42799,7;41591,3;53,60K;
2022-02-13;42061;42205,5;42725,1;41880,1;25,88K;
2022-02-12;42205;42388,4;43006,4;41776,8;37,88K;
2022-02-11;42388;43519,3;43915,1;42023,4;69,95K;
2022-02-10;43521;44388,9;45755,2;43242,5;89,69K;
2022-02-09;44388;44038,2;44800,4;43163;50,92K;
2022-02-08;44038;43833,9;45399,8;42705;92,88K;
2022-02-07;43833;42385,2;44468,3;41695,4;76,60K;
2022-02-06;42392;41411,9;42614,8;41176,3;31,20K;
2022-02-05;41412;41566,5;41899,8;40963,3;46,32K;
2022-02-04;41567;37287,8;41689;37041,1;95,49K;
2022-02-03;37287;36890,2;37304,3;36297,3;50,35K;
2022-02-02;36890;38711,2;38853,8;36682,3;53,74K;
2022-02-01;38709;38475,6;39230;38037,9;55,20K;
2022-01-31;38498;37923,8;38701,4;36672,8;61,27K;
2022-01-30;37917;38167,5;38313,3;37390,6;34,10K;
2022-01-29;38170;37736,5;38663,7;37350,2;42,77K;
2022-01-28;37745;37195,6;37995,9;36176,5;69,45K;
2022-01-27;37164;36800,1;37215,4;35543,2;83,52K;
2022-01-26;36800;36962,3;38862,6;36280;107,87K;
2022-01-25;36950;36691,3;37501,8;35729,3;79,68K;
2022-01-24;36686;36268,6;37424;32985,6;153,77K;
2022-01-23;36269;35072,9;36513;34655,2;70,43K;
2022-01-22;35075;36467,7;36749,8;34116;1389K;
2022-01-21;36475;40698,1;41104,6;35503,9;155,80K;
2022-01-20;40715;41683,6;43487,1;40568,3;65,28K;
2022-01-19;41677;42365,3;42558;41160,9;53,77K;
2022-01-18;42364;42209,9;42674,2;41300,7;47,32K;
2022-01-17;42209;43080,5;43179,6;41559,4;41,44K;
2022-01-16;43079;43079,2;43462;42643,3;28,66K;
2022-01-15;43097;43073,6;43777,9;42586,1;31,44K;
2022-01-14;43073;42562,2;43435,1;41848,7;50,50K;
2022-01-13;42560;43900;44404,7;42337,5;53,42K;
2022-01-12;43901;42735;44243,6;42476,7;53,95K;
2022-01-11;42733;41829,1;43090,2;41287,6;61,78K;
2022-01-10;41832;41848,9;42243,8;39697;85,50K;
2022-01-09;41848;41681,2;42764,4;41260,9;37,51K;
2022-01-08;41672;41551,3;42304,4;40574,3;52,54K;
2022-01-07;41546;43097,9;43127,7;40810;88,36K;
2022-01-06;43097;43431,6;43772,3;42481,1;638K;
2022-01-05;43425;45833,1;47019,4;42535,1;83,74K;
2022-01-04;45837;46435,7;47505,4;45602,1;55,59K;
2022-01-03;46430;47293,9;47556;45704;416K;
2022-01-02;47311;47738,7;47944,9;46718,2;272K;
2022-01-01;47738;46217,5;47917,6;46217,5;31,24K;
2021-12-31;46219;47123,3;48553,9;45693,6;58,18K;
2021-12-30;47123;46470,7;47901,4;46003;60,96K;
2021-12-29;46461;47548,4;48121,7;46127,8;63,92K;
2021-12-28;47545;50703,4;50703,8;47345,7;74,39K;
2021-12-27;50678;50783,6;52016,3;50459;43,90K;
2021-12-26;50779;50404;51247;49527;32,34K;
2021-12-25;50406;50789,6;51140,2;50196,8;26,67K;
2021-12-24;50786;50807,4;51795,3;50428,4;45,97K;
2021-12-23;50801;48599,6;51355,6;48053,4;56,24K;
2021-12-22;48599;48898,7;49540,3;48449,7;40,89K;
2021-12-21;48902;46900,1;49306,1;46654;57,88K;
2021-12-20;46895;46703,4;47488,9;45577,3;57,53K;
2021-12-19;46704;46855,7;48270,2;46438,4;445K;
2021-12-18;46856;46171,8;47330,2;45513,4;36,93K;
2021-12-17;46172;47630,4;47997,2;45523,8;67,50K;
2021-12-16;47628;48876,6;49387,8;47543,9;48,20K;
2021-12-15;48871;48366,2;49477,9;46572,6;80,28K;
2021-12-14;48366;46709,8;48635;46338,3;62,54K;
2021-12-13;46703;50075,9;50196,1;45848,2;80,37K;
2021-12-12;50081;49332,5;50779,2;48670,5;40,30K;
2021-12-11;49314;47138,4;49487;46834;45,23K;
2021-12-10;47137;47591,7;49974,8;47007,1;686K;
2021-12-09;47596;50477,6;50790,2;47341,9;58,69K;
2021-12-08;50473;50596,6;51204,7;48700,7;55,59K;
2021-12-07;50595;50547,4;51918,6;50070,9;56,29K;
2021-12-06;50562;49412,1;50913,3;47237,9;89,68K;
2021-12-05;49405;49196,4;49689,3;47797,8;723K;
2021-12-04;49195;53620,7;53847,2;42587,8;1680K;
